teamID,yearID,team_name,total_payroll,hitters_salary,pitchers_salary,W,cost_per_win,HR,cost_per_hr,SO,cost_per_strikeout
ANA,2000,Anaheim Angels,80264167,79864167,50520000,82,978831,236,338407,1024.0,49335.9375
ANA,2001,Anaheim Angels,47535167,34048500,12241000,75,633802,158,215496,1001.0,12228.77122877123
ANA,2002,Anaheim Angels,62221667,62021667,26744167,99,628501,152,408037,805.0,33222.56770186335
ANA,2003,Anaheim Angels,118714167,118411667,76684167,77,1541742,150,789411,838.0,91508.55250596658
ANA,2004,Anaheim Angels,100534667,100233167,44668167,92,1092768,162,618723,942.0,47418.43630573248
ARI,2000,Arizona Diamondbacks,134252838,134252838,88793505,85,1579445,179,750015,975.0,91070.26153846153
ARI,2001,Arizona Diamondbacks,85682999,77455499,42329166,92,931336,208,372382,1052.0,40236.849809885935
ARI,2002,Arizona Diamondbacks,103319999,103319999,59772499,98,1054285,165,626181,1016.0,58831.199803149604
ARI,2003,Arizona Diamondbacks,104207000,104207000,55308333,84,1240559,152,685572,1006.0,54978.46222664016
ARI,2004,Arizona Diamondbacks,91130750,90800750,43410750,51,1786877,135,672598,1022.0,42476.27201565558
ARI,2005,Arizona Diamondbacks,70659166,70341166,24912500,77,917651,191,368278,1094.0,22771.937842778792
ARI,2006,Arizona Diamondbacks,107398124,107398124,64358000,76,1413133,160,671238,965.0,66692.22797927461
ARI,2007,Arizona Diamondbacks,55226546,55226546,34477046,90,613628,171,322962,1111.0,31032.444644464445
ARI,2008,Arizona Diamondbacks,66604712,66604712,41600046,82,812252,159,418897,1287.0,32323.268065268065
ARI,2009,Arizona Diamondbacks,104230666,104230666,68892000,70,1489009,173,602489,1298.0,53075.50077041602
ARI,2010,Arizona Diamondbacks,126173166,117673166,81693000,65,1941125,180,653739,1529.0,53429.03858731197
ARI,2011,Arizona Diamondbacks,60489833,60489833,20662000,94,643508,172,351685,1249.0,16542.83426741393
ARI,2012,Arizona Diamondbacks,107952333,107952333,46385000,81,1332744,165,654256,1266.0,36639.0205371248
ARI,2013,Arizona Diamondbacks,110427000,110427000,53306500,81,1363296,130,849438,1142.0,46678.196147110335
ARI,2014,Arizona Diamondbacks,122859500,122859500,44975000,64,1919679,118,1041182,1165.0,38605.15021459227
ARI,2015,Arizona Diamondbacks,94134000,94134000,47183500,79,1191569,154,611259,1312.0,35963.03353658537
ARI,2016,Arizona Diamondbacks,122239063,122239063,93456530,69,1771580,190,643363,1427.0,65491.611772950244
ATL,2000,Atlanta Braves,86160336,77240336,30525237,95,906950,179,431510,1010.0,30223.00693069307
ATL,2001,Atlanta Braves,98716166,98271666,48090000,88,1121774,174,564779,1039.0,46284.889316650624
ATL,2002,Atlanta Braves,92870367,91170367,42410367,101,919508,164,555916,1028.0,41255.22081712062
ATL,2003,Atlanta Braves,106243667,103243667,47487167,101,1051917,235,439334,933.0,50897.28510182208
ATL,2004,Atlanta Braves,91307500,91307500,48494167,96,951119,178,512963,1158.0,41877.518998272884
ATL,2005,Atlanta Braves,90045302,90045302,48079000,90,1000503,184,489376,1084.0,44353.32103321033
ATL,2006,Atlanta Braves,97101876,81912333,38836000,79,1229137,222,368974,1169.0,33221.55688622755
ATL,2007,Atlanta Braves,111060833,95425833,53210000,84,1322152,176,542192,1149.0,46309.83463881636
ATL,2008,Atlanta Braves,121865683,121475683,63285184,72,1692578,130,934428,1023.0,61862.349951124146
ATL,2009,Atlanta Braves,107758666,106758666,68286166,86,1253007,149,716501,1064.0,64178.72744360902
ATL,2010,Atlanta Braves,86103666,85701166,46266166,91,946194,139,616555,1140.0,40584.35614035088
ATL,2011,Atlanta Braves,87002692,87002692,39415000,89,977558,173,502905,1260.0,31281.74603174603
ATL,2012,Atlanta Braves,85079942,84599942,25468000,94,905105,149,567784,1289.0,19757.951900698215
ATL,2013,Atlanta Braves,88367775,88367775,27343750,96,920497,181,488219,1384.0,19757.04479768786
ATL,2014,Atlanta Braves,110609000,110609000,34813750,79,1400113,123,899260,1369.0,25430.058436815194
ATL,2015,Atlanta Braves,135638750,135638750,78093750,67,2024458,100,1356387,1107.0,70545.39295392953
ATL,2016,Atlanta Braves,100638291,99098541,38164416,68,1479974,122,812283,1240.0,30777.754838709676
BAL,2000,Baltimore Orioles,117904224,117704224,42695953,74,1593300,184,639696,900.0,47439.94777777778
BAL,2001,Baltimore Orioles,84693206,72439166,30963332,63,1344336,136,532640,989.0,31307.716885743175
BAL,2002,Baltimore Orioles,60493487,47704697,19030863,67,902887,165,289119,993.0,19165.01812688822
BAL,2003,Baltimore Orioles,94777500,74447500,37562500,71,1334894,152,489786,902.0,41643.56984478936
BAL,2004,Baltimore Orioles,57023333,49023333,15610000,78,731068,169,290078,949.0,16448.893572181245
BAL,2005,Baltimore Orioles,74294333,73655833,23890000,74,1003977,189,389713,902.0,26485.587583148557
BAL,2006,Baltimore Orioles,87010582,86071082,26974333,70,1243008,164,524823,878.0,30722.47494305239
BAL,2007,Baltimore Orioles,104749808,97225252,41025334,69,1518113,142,684684,939.0,43690.45154419595
BAL,2008,Baltimore Orioles,78196244,70804578,29142664,68,1149944,172,411654,990.0,29437.034343434345
BAL,2009,Baltimore Orioles,92851666,92851666,33156666,64,1450807,160,580322,1013.0,32731.160908193484
BAL,2010,Baltimore Orioles,91662500,91662500,37077500,66,1388825,133,689191,1056.0,35111.268939393936
BAL,2011,Baltimore Orioles,119554038,118854038,51526500,69,1732667,191,622272,1120.0,46005.80357142857
BAL,2012,Baltimore Orioles,88153999,88153999,36594000,93,947892,214,411934,1315.0,27828.136882129278
BAL,2013,Baltimore Orioles,90450333,90450333,33411833,85,1064121,212,426652,1125.0,29699.40711111111
BAL,2014,Baltimore Orioles,107931000,107931000,34086000,96,1124281,211,511521,1285.0,26526.070038910504
BAL,2015,Baltimore Orioles,167494833,167494833,90604000,81,2067837,217,771865,1331.0,68072.12622088655
BAL,2016,Baltimore Orioles,223072478,223072478,130889286,89,2506432,253,881709,1324.0,98858.97734138973
BOS,2000,Boston Red Sox,86565333,77902833,36105000,85,1018415,167,466484,1019.0,35431.79587831207
BOS,2001,Boston Red Sox,110710833,110508333,43585000,82,1350132,198,558122,1131.0,38536.693191865605
BOS,2002,Boston Red Sox,115116060,114061060,52373333,93,1237807,177,644412,944.0,55480.22563559322
BOS,2003,Boston Red Sox,102754000,102454000,42209000,95,1081621,238,430478,943.0,44760.33934252386
BOS,2004,Boston Red Sox,138798500,138194000,58682500,98,1416311,222,622495,1189.0,49354.49957947855
BOS,2005,Boston Red Sox,142968125,142968125,61379000,95,1504927,199,718432,1044.0,58792.14559386973
BOS,2006,Boston Red Sox,143778224,143053224,77044994,86,1671839,192,745068,1056.0,72959.27462121213
BOS,2007,Boston Red Sox,161701214,152201214,62922000,96,1684387,166,916874,1042.0,60385.796545105564
BOS,2008,Boston Red Sox,184334958,176334958,67136749,95,1940367,173,1019277,1068.0,62862.12453183521
BOS,2009,Boston Red Sox,164842499,164842499,80878999,95,1735184,212,777558,1120.0,72213.3919642857
BOS,2010,Boston Red Sox,173922333,172822333,79626833,89,1954183,211,819063,1140.0,69848.09912280702
BOS,2011,Boston Red Sox,169512475,169512475,77255333,90,1883471,203,835036,1108.0,69725.0297833935
BOS,2012,Boston Red Sox,267875259,245925259,111845833,69,3882250,165,1490456,1197.0,93438.45697577276
BOS,2013,Boston Red Sox,154597500,154597500,73603000,97,1593788,178,868525,1308.0,56271.40672782875
BOS,2014,Boston Red Sox,224719929,224719929,97623000,71,3165069,123,1826991,1337.0,73016.45474943904
BOS,2015,Boston Red Sox,226203400,226203400,75247500,78,2900043,161,1404990,1148.0,65546.60278745645
BOS,2016,Boston Red Sox,190237011,189697511,95190000,93,2045559,208,912007,1160.0,82060.3448275862
CHA,2000,Chicago White Sox,32426500,32201500,14564000,95,341331,216,149081,960.0,15170.833333333334
CHA,2001,Chicago White Sox,83503667,81553667,40515000,83,1006068,214,381091,998.0,40596.192384769536
CHA,2002,Chicago White Sox,70477833,70477833,16995833,81,870096,217,324782,952.0,17852.76575630252
CHA,2003,Chicago White Sox,54470000,54470000,20470000,86,633372,220,247590,916.0,22347.161572052402
CHA,2004,Chicago White Sox,96657500,96657500,53317000,83,1164548,242,399411,1030.0,51764.077669902916
CHA,2005,Chicago White Sox,82678000,82360000,45280000,99,835131,200,411800,1002.0,45189.62075848303
CHA,2006,Chicago White Sox,103400667,103400667,51604000,90,1148896,236,438138,1056.0,48867.42424242424
CHA,2007,Chicago White Sox,115051833,115051833,44878500,72,1597942,190,605535,1149.0,39058.74673629243
CHA,2008,Chicago White Sox,123427332,123427332,50664000,89,1386823,235,525222,1016.0,49866.14173228347
CHA,2009,Chicago White Sox,149123500,149123500,86355000,79,1887639,184,810453,1022.0,84496.08610567515
CHA,2010,Chicago White Sox,105950000,104750000,54765000,88,1203977,177,591807,922.0,59398.04772234273
CHA,2011,Chicago White Sox,158789000,158789000,87460000,79,2009987,154,1031097,989.0,88432.76036400405
CHA,2012,Chicago White Sox,99844000,99844000,42896000,85,1174635,211,473194,1203.0,35657.52285951787
CHA,2013,Chicago White Sox,198037090,198037090,123044084,63,3143445,148,1338088,1207.0,101942.07456503728
CHA,2014,Chicago White Sox,116505500,116505500,74872500,73,1595965,155,751648,1362.0,54972.46696035242
CHA,2015,Chicago White Sox,112923700,112923700,78583700,76,1485838,136,830321,1231.0,63837.286758732735
CHA,2016,Chicago White Sox,131998667,131998667,67559000,78,1692290,168,785706,1285.0,52575.09727626459
CHN,2000,Chicago Cubs,99186833,98716833,56589333,65,1525951,183,539436,1120.0,50526.19017857143
CHN,2001,Chicago Cubs,65660833,65660833,26518333,88,746145,194,338457,1077.0,24622.407613741874
CHN,2002,Chicago Cubs,96218333,96014833,44113333,67,1436094,200,480074,1269.0,34762.27974783294
CHN,2003,Chicago Cubs,81133333,80523333,26563333,88,921969,172,468158,1158.0,22938.97495682211
CHN,2004,Chicago Cubs,102060000,102060000,36698333,89,1146741,235,434297,1080.0,33979.93796296296
CHN,2005,Chicago Cubs,121352932,121352932,76287932,79,1536113,194,625530,920.0,82921.6652173913
CHN,2006,Chicago Cubs,134724499,130691166,81938666,66,2041280,166,787296,928.0,88295.97629310345
CHN,2007,Chicago Cubs,108353665,107970665,42990666,85,1274749,151,715037,1054.0,40788.10815939279
CHN,2008,Chicago Cubs,129745833,129745833,68028333,97,1337585,184,705140,1186.0,57359.471332209105
CHN,2009,Chicago Cubs,146109000,146109000,70521500,83,1760349,161,907509,1185.0,59511.81434599156
CHN,2010,Chicago Cubs,203359000,202534000,108333000,75,2711453,149,1359288,1236.0,87648.05825242719
CHN,2011,Chicago Cubs,139547329,139547329,53805333,71,1965455,148,942887,1202.0,44763.17221297837
CHN,2012,Chicago Cubs,157647033,157162033,100641333,61,2584377,137,1147168,1235.0,81490.95789473684
CHN,2013,Chicago Cubs,210213725,210213725,140629582,66,3185056,172,1222172,1230.0,114332.99349593496
CHN,2014,Chicago Cubs,111712500,111712500,78568000,73,1530308,157,711544,1477.0,53194.31279620853
CHN,2015,Chicago Cubs,166349310,166349310,118049000,97,1714941,171,972802,1518.0,77766.139657444
CHN,2016,Chicago Cubs,169363668,167820668,115056500,103,1644307,199,843319,1339.0,85927.18446601942
CIN,2000,Cincinnati Reds,71107200,70807200,30190000,85,836555,200,354036,995.0,30341.708542713568
CIN,2001,Cincinnati Reds,54861000,54651000,13266000,66,831227,176,310517,1172.0,11319.112627986347
CIN,2002,Cincinnati Reds,48433390,47652890,14524667,78,620940,169,281969,1188.0,12226.150673400673
CIN,2003,Cincinnati Reds,90955668,90565668,48166668,69,1318198,182,497613,1326.0,36324.78733031674
CIN,2004,Cincinnati Reds,56365250,56065250,27583250,76,741648,194,288996,1335.0,20661.610486891386
CIN,2005,Cincinnati Reds,83108583,82768583,43004583,73,1138473,222,372831,1303.0,33004.28472755181
CIN,2006,Cincinnati Reds,74457019,70367019,29415833,80,930712,217,324271,1192.0,24677.712248322146
CIN,2007,Cincinnati Reds,83824980,83442480,46038333,72,1164235,204,409031,1113.0,41364.180592991914
CIN,2008,Cincinnati Reds,101622890,96605390,33857500,74,1373282,187,516606,1125.0,30095.555555555555
CIN,2009,Cincinnati Reds,93858500,93858500,56666000,78,1203314,158,594041,1129.0,50191.319751992916
CIN,2010,Cincinnati Reds,72176542,71760542,47045500,91,793148,188,381705,1218.0,38625.2052545156
CIN,2011,Cincinnati Reds,77697134,77697134,35204438,79,983508,183,424574,1250.0,28163.5504
CIN,2012,Cincinnati Reds,82203616,73425925,28294438,97,847459,172,426894,1266.0,22349.47709320695
CIN,2013,Cincinnati Reds,106404462,106404462,53808807,90,1182271,155,686480,1245.0,43219.92530120482
CIN,2014,Cincinnati Reds,129217500,129217500,80257500,76,1700230,131,986393,1252.0,64103.434504792334
CIN,2015,Cincinnati Reds,180397286,180397286,110292286,64,2818707,167,1080223,1255.0,87882.29960159362
CIN,2016,Cincinnati Reds,101481725,100973725,31690060,68,1492378,164,615693,1284.0,24680.732087227414
CLE,2000,Cleveland Indians,89127771,88922771,34692115,90,990308,221,402365,1057.0,32821.30085146642
CLE,2001,Cleveland Indians,107011001,106386001,51653167,91,1175945,212,501820,1076.0,48004.80204460966
CLE,2002,Cleveland Indians,136353960,134348460,90354292,74,1842621,192,699731,1000.0,90354.292
CLE,2003,Cleveland Indians,54584834,45984834,16759600,68,802718,158,291043,1062.0,15781.167608286252
CLE,2004,Cleveland Indians,37814300,37195800,19095500,80,472678,184,202151,1009.0,18925.17343904856
CLE,2005,Cleveland Indians,43514900,43198400,26630000,93,467902,207,208687,1093.0,24364.13540713632
CLE,2006,Cleveland Indians,120769000,120769000,88589700,78,1548320,196,616168,1204.0,73579.4850498339
CLE,2007,Cleveland Indians,74758667,74758667,50351000,96,778736,178,419992,1202.0,41889.35108153078
CLE,2008,Cleveland Indians,146946066,146946066,103875500,81,1814148,171,859333,1213.0,85635.20197856554
CLE,2009,Cleveland Indians,130396666,120396666,61841900,65,2006102,161,747805,1211.0,51066.80429397192
CLE,2010,Cleveland Indians,135503966,135078966,99637200,69,1963825,128,1055304,1184.0,84153.04054054055
CLE,2011,Cleveland Indians,49776566,49776566,14931900,80,622207,154,323224,1269.0,11766.666666666666
CLE,2012,Cleveland Indians,125670300,113181800,81559500,68,1848092,136,832219,1087.0,75031.73873045079
CLE,2013,Cleveland Indians,83252600,83252600,37648400,92,904919,171,486857,1283.0,29344.037412314887
CLE,2014,Cleveland Indians,138689399,138689399,69277933,85,1631639,142,976685,1189.0,58265.713204373424
CLE,2015,Cleveland Indians,135863766,135863766,41542600,81,1677330,141,963572,1157.0,35905.44511668107
CLE,2016,Cleveland Indians,83311900,83311900,35680100,94,886296,185,450334,1246.0,28635.714285714286
COL,2000,Colorado Rockies,90437857,90137857,44140833,82,1102900,161,559862,907.0,48666.85005512679
COL,2001,Colorado Rockies,111916334,111291334,67742667,73,1533100,213,522494,1027.0,65961.70107108082
COL,2002,Colorado Rockies,69701043,68051043,40025376,73,954808,152,447704,1043.0,38375.24065196548
COL,2003,Colorado Rockies,86854667,86854667,34835000,74,1173711,198,438659,1134.0,30718.69488536155
COL,2004,Colorado Rockies,81051834,72051834,10308500,68,1191938,202,356692,1181.0,8728.619813717189
COL,2005,Colorado Rockies,76226000,76226000,32520000,67,1137701,150,508173,1103.0,29483.227561196738
COL,2006,Colorado Rockies,47196000,46195000,22468000,76,621000,157,294235,1108.0,20277.978339350182
COL,2007,Colorado Rockies,91541000,91041000,61649000,90,1017122,171,532403,1152.0,53514.756944444445
COL,2008,Colorado Rockies,77955500,77955500,35078000,74,1053452,160,487221,1209.0,29014.061207609593
COL,2009,Colorado Rockies,78016000,73211000,34410000,92,848000,190,385321,1277.0,26945.967110415037
COL,2010,Colorado Rockies,96842000,96439000,47137000,83,1166771,173,557450,1274.0,36999.215070643644
COL,2011,Colorado Rockies,103790071,103790071,56407000,73,1421781,163,636748,1201.0,46966.69442131557
COL,2012,Colorado Rockies,110112571,109632571,57465000,64,1720508,166,660437,1213.0,47374.278647980216
COL,2013,Colorado Rockies,76382071,76382071,26726500,74,1032190,159,480390,1204.0,22198.08970099668
COL,2014,Colorado Rockies,95905500,95905500,43545500,66,1453113,186,515620,1281.0,33993.36455893833
COL,2015,Colorado Rockies,128263600,128263600,43316000,68,1886229,186,689589,1283.0,33761.49649259548
COL,2016,Colorado Rockies,112645071,111626071,40310500,75,1501934,204,547186,1330.0,30308.646616541355
DET,2000,Detroit Tigers,60665167,60425167,20057667,79,767913,177,341385,982.0,20425.32281059063
DET,2001,Detroit Tigers,85101167,84516167,48951667,66,1289411,139,608029,972.0,50361.79732510288
DET,2002,Detroit Tigers,69673000,69455500,36045500,55,1266781,124,560125,1035.0,34826.57004830918
DET,2003,Detroit Tigers,63610000,63610000,27738000,43,1479302,153,415751,1099.0,25239.308462238398
DET,2004,Detroit Tigers,46832000,46203000,10270500,72,650444,201,229865,1144.0,8977.70979020979
DET,2005,Detroit Tigers,88042000,84702500,37267500,71,1240028,168,504181,1038.0,35903.17919075144
DET,2006,Detroit Tigers,84787866,78457866,25689456,95,892503,203,386491,1133.0,22673.835834068843
DET,2007,Detroit Tigers,119245369,117530369,49774159,88,1355061,177,664013,1054.0,47224.059772296016
DET,2008,Detroit Tigers,158843412,157501912,43245000,74,2146532,200,787509,1076.0,40190.520446096656
DET,2009,Detroit Tigers,117735145,117735145,51127500,86,1369013,183,643361,1114.0,45895.42190305206
DET,2010,Detroit Tigers,158864928,155439928,81216052,81,1961295,152,1022631,1147.0,70807.36878814298
DET,2011,Detroit Tigers,106118231,104718231,33846000,95,1117034,169,619634,1143.0,29611.548556430447
DET,2012,Detroit Tigers,138281000,125281000,48489500,88,1571375,163,768595,1103.0,43961.46872166818
DET,2013,Detroit Tigers,147987000,147987000,58077000,93,1591258,176,840835,1073.0,54125.81547064306
DET,2014,Detroit Tigers,154415500,154415500,78163500,90,1715727,155,996229,1144.0,68324.73776223777
DET,2015,Detroit Tigers,266543250,266543250,175615000,74,3601935,151,1765187,1259.0,139487.68864177918
DET,2016,Detroit Tigers,194876481,193860481,90286481,86,2266005,211,918770,1303.0,69291.23637759018
FLO,2000,Florida Marlins,20687000,20009000,10779000,79,261860,160,125056,1184.0,9103.885135135135
FLO,2001,Florida Marlins,41762500,34360500,15014000,76,549506,166,206990,1145.0,13112.663755458516
FLO,2002,Florida Marlins,62404917,62202917,18783250,79,789935,146,426047,1130.0,16622.34513274336
FLO,2003,Florida Marlins,49450000,49150000,15259426,91,543406,157,313057,978.0,15602.685071574642
FLO,2004,Florida Marlins,56178042,55873042,32001375,83,676843,148,377520,968.0,33059.271694214876
FLO,2005,Florida Marlins,82833834,82483834,44438500,83,997998,128,644404,918.0,48407.952069716775
FLO,2006,Florida Marlins,15714000,15714000,10459000,78,201461,182,86340,1249.0,8373.899119295436
FLO,2007,Florida Marlins,42447000,42067000,27908000,71,597845,201,209288,1332.0,20951.951951951953
FLO,2008,Florida Marlins,21811500,19441500,10900500,84,259660,208,93468,1371.0,7950.765864332604
FLO,2009,Florida Marlins,38814000,38064000,16754000,87,446137,159,239396,1226.0,13665.57911908646
FLO,2010,Florida Marlins,97479719,97479719,56295219,80,1218496,152,641313,1375.0,40941.97745454546
FLO,2011,Florida Marlins,56944000,56944000,32998000,72,790888,149,382174,1244.0,26525.72347266881
HOU,2000,Houston Astros,59199111,59199111,27216611,72,822209,249,237747,1129.0,24106.829937998227
HOU,2001,Houston Astros,85362667,83062667,49167667,93,917878,208,399339,1119.0,43938.933869526365
HOU,2002,Houston Astros,63448417,62698417,25466667,84,755338,167,375439,1120.0,22738.095535714285
HOU,2003,Houston Astros,75465000,75155000,14855000,87,867413,191,393481,1021.0,14549.461312438785
HOU,2004,Houston Astros,97482000,97482000,32000000,92,1059586,187,521294,999.0,32032.03203203203
HOU,2005,Houston Astros,77874000,77874000,37141000,89,874988,161,483689,1037.0,35815.814850530376
HOU,2006,Houston Astros,92694435,73325416,36547916,82,1130419,174,421410,1076.0,33966.46468401487
HOU,2007,Houston Astros,101259000,100879000,44797000,73,1387109,167,604065,1043.0,42950.14381591563
HOU,2008,Houston Astros,88930414,88540414,27792000,86,1034074,167,530182,1051.0,26443.38725023787
HOU,2009,Houston Astros,104496414,104496414,40774000,74,1412113,142,735890,990.0,41185.85858585859
HOU,2010,Houston Astros,156355500,155540000,81033500,76,2057309,108,1440185,1025.0,79057.0731707317
HOU,2011,Houston Astros,88695000,87109000,26541500,56,1583839,95,916936,1164.0,22801.97594501718
HOU,2012,Houston Astros,172651000,172160500,127782000,55,3139109,146,1179181,1365.0,93613.18681318681
HOU,2013,Houston Astros,41113900,41113900,28435700,51,806154,148,277796,1535.0,18524.885993485343
HOU,2014,Houston Astros,36616300,36616300,18722900,70,523090,163,224639,1442.0,12983.980582524271
HOU,2015,Houston Astros,72256200,72256200,34178100,86,840188,230,314157,1392.0,24553.23275862069
HOU,2016,Houston Astros,133653900,133653900,76139200,84,1591117,198,675019,1452.0,52437.46556473829
KCA,2000,Kansas City Royals,27730500,27528000,12208000,77,360136,150,183520,840.0,14533.333333333334
KCA,2001,Kansas City Royals,44862500,41410000,17265000,65,690192,152,272434,898.0,19226.0579064588
KCA,2002,Kansas City Royals,48362000,48362000,16590000,62,780032,140,345442,921.0,18013.029315960914
KCA,2003,Kansas City Royals,40518000,40518000,6402500,83,488168,162,250111,926.0,6914.14686825054
KCA,2004,Kansas City Royals,63359000,62417500,18877500,58,1092396,150,416116,1057.0,17859.508041627247
KCA,2005,Kansas City Royals,41631000,38671000,9647000,56,743410,126,306912,1008.0,9570.436507936507
KCA,2006,Kansas City Royals,65440500,65105500,28776000,62,1055491,124,525044,1040.0,27669.23076923077
KCA,2007,Kansas City Royals,84021500,83247500,49541000,69,1217702,102,816151,1069.0,46343.31150608045
KCA,2008,Kansas City Royals,67245500,66770500,36867000,75,896606,120,556420,1005.0,36683.58208955224
KCA,2009,Kansas City Royals,82519333,82108333,44027000,65,1269528,144,570196,1091.0,40354.720439963334
KCA,2010,Kansas City Royals,103465210,103465210,52781710,67,1544256,121,855084,905.0,58322.331491712706
KCA,2011,Kansas City Royals,38202000,34452000,18458000,71,538056,129,267069,1006.0,18347.912524850894
KCA,2012,Kansas City Royals,92491225,85989225,57413200,72,1284600,131,656406,1032.0,55632.94573643411
KCA,2013,Kansas City Royals,89612225,89612225,47759300,86,1042002,112,800109,1048.0,45571.85114503817
KCA,2014,Kansas City Royals,75659075,75659075,35877000,89,850101,95,796411,985.0,36423.350253807104
KCA,2015,Kansas City Royals,116389525,116389525,60325000,95,1225152,139,837334,973.0,61998.972250770814
KCA,2016,Kansas City Royals,131487125,128012125,67887500,81,1623297,147,870830,1224.0,55463.643790849674
LAA,2005,Los Angeles Angels of Anaheim,94867822,84400322,31993322,95,998608,147,574151,848.0,37727.97405660377
LAA,2006,Los Angeles Angels of Anaheim,140197000,140197000,74365000,89,1575247,159,881742,914.0,81362.14442013128
LAA,2007,Los Angeles Angels of Anaheim,116601333,116218833,51433833,94,1240439,123,944868,883.0,58248.961494903735
LAA,2008,Los Angeles Angels of Anaheim,120666333,111166333,43121333,100,1206663,159,699159,987.0,43689.29381965552
LAA,2009,Los Angeles Angels of Anaheim,113709000,113709000,49109000,97,1172257,173,657277,1054.0,46592.97912713473
LAA,2010,Los Angeles Angels of Anaheim,143063866,142263866,89603000,80,1788298,155,917831,1070.0,83741.1214953271
LAA,2011,Los Angeles Angels of Anaheim,138963166,135574166,64933000,86,1615850,155,874672,1086.0,59790.97605893186
LAA,2012,Los Angeles Angels of Anaheim,178051166,177089666,78386000,89,2000574,187,947003,1113.0,70427.67295597485
LAA,2013,Los Angeles Angels of Anaheim,143274750,141274750,72749250,78,1836855,164,861431,1221.0,59581.69533169533
LAA,2014,Los Angeles Angels of Anaheim,136653250,136653250,58366500,98,1394420,155,881633,1266.0,46103.080568720376
LAA,2015,Los Angeles Angels of Anaheim,122043745,122043745,59626000,85,1435808,176,693430,1150.0,51848.69565217391
LAA,2016,Los Angeles Angels of Anaheim,176576333,156076333,88322500,74,2386166,156,1000489,991.0,89124.62159434914
LAN,2000,Los Angeles Dodgers,99624286,99624286,48865952,86,1158421,211,472153,1083.0,45120.91597414589
LAN,2001,Los Angeles Dodgers,114880953,107047620,60417619,86,1335825,206,519648,1062.0,56890.41337099812
LAN,2002,Los Angeles Dodgers,104825953,95425953,51232619,92,1139412,155,615651,940.0,54502.78617021276
LAN,2003,Los Angeles Dodgers,105572620,105572620,59114286,85,1242030,124,851392,985.0,60014.503553299495
LAN,2004,Los Angeles Dodgers,110133668,98916001,55432500,93,1184232,203,487270,1092.0,50762.36263736264
LAN,2005,Los Angeles Dodgers,83039000,69639000,40438500,71,1169563,149,467375,1094.0,36963.89396709324
LAN,2006,Los Angeles Dodgers,144084187,143729187,82628500,88,1637320,153,939406,959.0,86161.10531803963
LAN,2007,Los Angeles Dodgers,125984524,125589524,63922915,82,1536396,129,973562,864.0,73984.85532407407
LAN,2008,Los Angeles Dodgers,141481036,125470635,63374333,84,1684298,137,915844,1032.0,61409.23740310078
LAN,2009,Los Angeles Dodgers,101614592,101614592,42152221,95,1069627,145,700790,1068.0,39468.371722846445
LAN,2010,Los Angeles Dodgers,114463022,114058522,37637833,80,1430787,120,950487,1184.0,31788.710304054053
LAN,2011,Los Angeles Dodgers,117608499,117608499,47877912,82,1434249,117,1005200,1087.0,44045.91720331187
LAN,2012,Los Angeles Dodgers,103448075,102953075,47040165,86,1202884,116,887526,1156.0,40692.18425605536
LAN,2013,Los Angeles Dodgers,238001693,238001693,115757496,92,2586974,138,1724649,1146.0,101010.03141361257
LAN,2014,Los Angeles Dodgers,233514600,233514600,116278100,94,2484197,134,1742646,1246.0,93321.10754414125
LAN,2015,Los Angeles Dodgers,231317000,231317000,101703500,92,2514315,187,1236989,1258.0,80845.3895071542
LAN,2016,Los Angeles Dodgers,225788380,217778380,113038717,91,2481190,189,1152266,1321.0,85570.56548069644
MIA,2012,Miami Marlins,170936000,164456000,102290000,69,2477333,137,1200408,1228.0,83298.04560260587
MIA,2013,Miami Marlins,69576400,69576400,54588400,62,1122200,95,732383,1232.0,44308.76623376623
MIA,2014,Miami Marlins,44036900,44036900,10953900,77,571907,122,360958,1419.0,7719.450317124736
MIA,2015,Miami Marlins,194729000,194729000,166307500,71,2742661,120,1622741,1150.0,144615.21739130435
