playerID,awardID,yearID,lgID,tie,notes
acunaro01,Most Valuable Player,2023,NL,No,N/A
ohtansh01,Most Valuable Player,2023,AL,No,N/A
judgeaa01,Most Valuable Player,2022,AL,No,N/A
goldspa01,Most Valuable Player,2022,NL,No,N/A
biebesh01,Pitching Triple Crown,2020,AL,No,N/A
gimenan01,Platinum Glove,2023,AL,No,N/A
tatisfe02,Platinum Glove,2023,NL,No,N/A
trevijo01,Platinum Glove,2022,AL,No,N/A
arenano01,Platinum Glove,2022,NL,No,N/A
friedma01,Silver Slugger,2021,NL,No,P
correca01,Platinum Glove,2021,AL,No,N/A
arenano01,Platinum Glove,2021,NL,No,N/A
gordoal01,Platinum Glove,2020,AL,No,N/A
arenano01,Platinum Glove,2020,NL,No,N/A
chapmma01,Platinum Glove,2019,AL,No,N/A
arenano01,Platinum Glove,2019,NL,No,N/A
chapmma01,Platinum Glove,2018,AL,No,N/A
arenano01,Platinum Glove,2018,NL,No,N/A
buxtoby01,Platinum Glove,2017,AL,No,N/A
arenano01,Platinum Glove,2017,NL,No,N/A
rizzoan01,Platinum Glove,2016,NL,No,N/A
lindofr01,Platinum Glove,2016,AL,No,N/A
kiermke01,Platinum Glove,2015,AL,No,N/A
molinya01,Platinum Glove,2015,NL,No,N/A
gordoal01,Platinum Glove,2014,AL,No,N/A
molinya01,Platinum Glove,2014,NL,No,N/A
simmoan01,Platinum Glove,2013,NL,No,N/A
machama01,Platinum Glove,2013,AL,No,N/A
beltrad01,Platinum Glove,2012,AL,No,N/A
molinya01,Platinum Glove,2012,NL,No,N/A
beltrad01,Platinum Glove,2011,AL,No,N/A
molinya01,Platinum Glove,2011,NL,No,N/A
carroco02,Rookie of the Year,2023,NL,No,N/A
hendegu01,Rookie of the Year,2023,AL,No,N/A
rodriju01,Rookie of the Year,2022,AL,No,N/A
harrimi04,Rookie of the Year,2022,NL,No,N/A
diazya01,Silver Slugger,2023,AL,No,1B
olsonma02,Silver Slugger,2023,NL,No,1B
arraelu01,Silver Slugger,2023,NL,No,2B
semiema01,Silver Slugger,2023,AL,No,2B
deverra01,Silver Slugger,2023,AL,No,3B
rileyau01,Silver Slugger,2023,NL,No,3B
contrwi02,Silver Slugger,2023,NL,No,C
rutscad01,Silver Slugger,2023,AL,No,C
harpebr03,Silver Slugger,2023,NL,No,DH
ohtansh01,Silver Slugger,2023,AL,No,DH
acunaro01,Silver Slugger,2023,NL,No,OF
bettsmo01,Silver Slugger,2023,NL,No,OF
roberlu01,Silver Slugger,2023,AL,No,OF
rodriju01,Silver Slugger,2023,AL,No,OF
sotoju01,Silver Slugger,2023,NL,No,OF
tuckeky01,Silver Slugger,2023,AL,No,OF
lindofr01,Silver Slugger,2023,NL,No,SS
seageco01,Silver Slugger,2023,AL,No,SS
bellico01,Silver Slugger,2023,NL,No,UT
hendegu01,Silver Slugger,2023,AL,No,UT
goldspa01,Silver Slugger,2022,NL,No,1B
lowena01,Silver Slugger,2022,AL,No,1B
altuvjo01,Silver Slugger,2022,AL,No,2B
mcneije01,Silver Slugger,2022,NL,No,2B
arenano01,Silver Slugger,2022,NL,No,3B
ramirjo01,Silver Slugger,2022,AL,No,3B
kirkal01,Silver Slugger,2022,AL,No,C
realmjt01,Silver Slugger,2022,NL,No,C
alvaryo01,Silver Slugger,2022,AL,No,DH
belljo02,Silver Slugger,2022,NL,No,DH
bettsmo01,Silver Slugger,2022,NL,No,OF
judgeaa01,Silver Slugger,2022,AL,No,OF
rodriju01,Silver Slugger,2022,AL,No,OF
schwaky01,Silver Slugger,2022,NL,No,OF
sotoju01,Silver Slugger,2022,NL,No,OF
troutmi01,Silver Slugger,2022,AL,No,OF
bogaexa01,Silver Slugger,2022,AL,No,SS
turnetr01,Silver Slugger,2022,NL,No,SS
arraelu01,Silver Slugger,2022,AL,No,UT
drurybr01,Silver Slugger,2022,NL,No,UT
kineris01,Gold Glove,2020,AL,No,3B
crawfjp01,Gold Glove,2020,AL,No,SS
roberlu01,Gold Glove,2020,AL,No,LF
gordoal01,Gold Glove,2020,AL,No,CF
gallojo01,Gold Glove,2020,AL,No,RF
cannigr01,Gold Glove,2020,AL,No,P
barnhtu01,Gold Glove,2020,NL,No,C
rizzoan01,Gold Glove,2020,NL,No,1B
wongko01,Gold Glove,2020,NL,No,2B
arenano01,Gold Glove,2020,NL,No,3B
baezja01,Gold Glove,2020,NL,No,SS
oneilty01,Gold Glove,2020,NL,No,LF
grishtr01,Gold Glove,2020,NL,No,CF
bettsmo01,Gold Glove,2020,NL,No,RF
friedma01,Gold Glove,2020,NL,No,P
snellbl01,Cy Young Award,2023,NL,No,N/A
colege01,Cy Young Award,2023,AL,No,N/A
verlaju01,Cy Young Award,2022,AL,No,N/A
alcansa01,Cy Young Award,2022,NL,No,N/A
lowena01,Gold Glove,2023,AL,No,1B
walkech02,Gold Glove,2023,NL,No,1B
gimenan01,Gold Glove,2023,AL,No,2B
hoernni01,Gold Glove,2023,NL,No,2B
chapmma01,Gold Glove,2023,AL,No,3B
hayeske01,Gold Glove,2023,NL,No,3B
heimjo01,Gold Glove,2023,AL,No,C
morenga01,Gold Glove,2023,NL,No,C
doylebr02,Gold Glove,2023,NL,No,OF
garciad02,Gold Glove,2023,AL,No,OF
happia01,Gold Glove,2023,NL,No,OF
kiermke01,Gold Glove,2023,AL,No,OF
kwanst01,Gold Glove,2023,AL,No,OF
tatisfe02,Gold Glove,2023,NL,No,OF
berrijo01,Gold Glove,2023,AL,No,P
wheelza01,Gold Glove,2023,NL,No,P
swansda01,Gold Glove,2023,NL,No,SS
volpean01,Gold Glove,2023,AL,No,SS
dubonma01,Gold Glove,2023,AL,No,UT
kimha01,Gold Glove,2023,NL,No,UT
guerrvl02,Gold Glove,2022,AL,No,1B
walkech02,Gold Glove,2022,NL,No,1B
gimenan01,Gold Glove,2022,AL,No,2B
rodgebr02,Gold Glove,2022,NL,No,2B
arenano01,Gold Glove,2022,NL,No,3B
uriasra01,Gold Glove,2022,AL,No,3B
realmjt01,Gold Glove,2022,NL,No,C
trevijo01,Gold Glove,2022,AL,No,C
bettsmo01,Gold Glove,2022,NL,No,OF
grishtr01,Gold Glove,2022,NL,No,OF
happia01,Gold Glove,2022,NL,No,OF
kwanst01,Gold Glove,2022,AL,No,OF
strawmy01,Gold Glove,2022,AL,No,OF
tuckeky01,Gold Glove,2022,AL,No,OF
biebesh01,Gold Glove,2022,AL,No,P
friedma01,Gold Glove,2022,NL,No,P
penaje02,Gold Glove,2022,AL,No,SS
swansda01,Gold Glove,2022,NL,No,SS
donovbr01,Gold Glove,2022,NL,No,UT
lemahdj01,Gold Glove,2022,AL,No,UT
freemfr01,Gold Glove,2018,NL,Y,1B
troutmi01,Most Valuable Player,2019,AL,No,N/A
bellico01,Most Valuable Player,2019,NL,No,N/A
verlaju01,Cy Young Award,2019,AL,No,N/A
degroja01,Cy Young Award,2019,NL,No,N/A
alvaryo01,Rookie of the Year,2019,AL,No,N/A
alonspe01,Rookie of the Year,2019,NL,No,N/A
garvemi01,Silver Slugger,2019,AL,No,C
ozunama01,Silver Slugger,2020,NL,No,DH
ohtansh01,Most Valuable Player,2021,AL,No,N/A
harpebr03,Most Valuable Player,2021,NL,No,N/A
rayro02,Cy Young Award,2021,AL,No,N/A
burneco01,Cy Young Award,2021,NL,No,N/A
arozara01,Rookie of the Year,2021,AL,No,N/A
indiajo01,Rookie of the Year,2021,NL,No,N/A
perezsa02,Silver Slugger,2021,AL,No,C
guerrvl02,Silver Slugger,2021,AL,No,1B
semiema01,Silver Slugger,2021,AL,No,2B
deverra01,Silver Slugger,2021,AL,No,3B
mullice01,Silver Slugger,2021,AL,No,OF
judgeaa01,Silver Slugger,2021,AL,No,OF
hernate01,Silver Slugger,2021,AL,No,OF
ohtansh01,Silver Slugger,2021,AL,No,DH
poseybu01,Silver Slugger,2021,NL,No,C
freemfr01,Silver Slugger,2021,NL,No,1B
albieoz01,Silver Slugger,2021,NL,No,2B
rileyau01,Silver Slugger,2021,NL,No,3B
tatisfe02,Silver Slugger,2021,NL,No,SS
harpebr03,Silver Slugger,2021,NL,No,OF
casteni01,Silver Slugger,2021,NL,No,OF
sotoju01,Silver Slugger,2021,NL,No,OF
murphse01,Gold Glove,2021,AL,No,C
gourryu01,Gold Glove,2021,AL,No,1B
semiema01,Gold Glove,2021,AL,No,2B
chapmma01,Gold Glove,2021,AL,No,3B
correca01,Gold Glove,2021,AL,No,SS
taylomi02,Gold Glove,2021,AL,No,LF
gallojo01,Gold Glove,2021,AL,No,CF
beninan01,Gold Glove,2021,AL,No,RF
keuchda01,Gold Glove,2021,AL,No,P
stallja01,Gold Glove,2021,NL,No,C
goldspa01,Gold Glove,2021,NL,No,1B
edmanto01,Gold Glove,2021,NL,No,2B
arenano01,Gold Glove,2021,NL,No,3B
crawfbr01,Gold Glove,2021,NL,No,SS
oneilty01,Gold Glove,2021,NL,No,LF
duvalad01,Gold Glove,2021,NL,No,CF
baderha01,Gold Glove,2021,NL,No,RF
friedma01,Gold Glove,2021,NL,No,P
ozunama01,Gold Glove,2017,NL,No,LF
inciaen01,Gold Glove,2017,NL,No,CF
heywaja01,Gold Glove,2017,NL,No,RF
greinza01,Gold Glove,2017,NL,No,P
santaca01,Silver Slugger,2019,AL,No,1B
lemahdj01,Silver Slugger,2019,AL,No,2B
bregmal01,Silver Slugger,2019,AL,No,3B
springe01,Silver Slugger,2019,AL,No,OF
troutmi01,Silver Slugger,2019,AL,No,OF
bettsmo01,Silver Slugger,2019,AL,No,OF
cruzne02,Silver Slugger,2019,AL,No,DH
realmjt01,Silver Slugger,2019,NL,No,C
freemfr01,Silver Slugger,2019,NL,No,1B
albieoz01,Silver Slugger,2019,NL,No,2B
rendoan01,Silver Slugger,2019,NL,No,3B
storytr01,Silver Slugger,2019,NL,No,SS
acunaro01,Silver Slugger,2019,NL,No,OF
yelicch01,Silver Slugger,2019,NL,No,OF
bellico01,Silver Slugger,2019,NL,No,OF
greinza01,Silver Slugger,2019,NL,No,P
perezro02,Gold Glove,2019,AL,No,C
olsonma02,Gold Glove,2019,AL,No,1B
sanchca01,Gold Glove,2019,AL,No,2B
chapmma01,Gold Glove,2019,AL,No,3B
lindofr01,Gold Glove,2019,AL,No,SS
gordoal01,Gold Glove,2019,AL,No,LF
kiermke01,Gold Glove,2019,AL,No,CF
bettsmo01,Gold Glove,2019,AL,No,RF
leakemi01,Gold Glove,2019,AL,No,P
realmjt01,Gold Glove,2019,NL,No,C
rizzoan01,Gold Glove,2019,NL,No,1B
wongko01,Gold Glove,2019,NL,No,2B
arenano01,Gold Glove,2019,NL,No,3B
ahmedni01,Gold Glove,2019,NL,No,SS
cainlo01,Gold Glove,2019,NL,No,LF
bellico01,Gold Glove,2019,NL,No,CF
peralda01,Gold Glove,2019,NL,No,RF
greinza01,Gold Glove,2019,NL,No,P
abreujo02,Most Valuable Player,2020,AL,No,N/A
freemfr01,Most Valuable Player,2020,NL,No,N/A
biebesh01,Cy Young Award,2020,AL,No,N/A
bauertr01,Cy Young Award,2020,NL,No,N/A
lewisky01,Rookie of the Year,2020,AL,No,N/A
willide03,Rookie of the Year,2020,NL,No,N/A
perezsa02,Silver Slugger,2020,AL,No,C
abreujo02,Silver Slugger,2020,AL,No,1B
lemahdj01,Silver Slugger,2020,AL,No,2B
ramirjo01,Silver Slugger,2020,AL,No,3B
jimenel02,Silver Slugger,2020,AL,No,OF
hernate01,Silver Slugger,2020,AL,No,OF
troutmi01,Silver Slugger,2020,AL,No,OF
cruzne02,Silver Slugger,2020,AL,No,DH
darnatr01,Silver Slugger,2020,NL,No,C
freemfr01,Silver Slugger,2020,NL,No,1B
solando01,Silver Slugger,2020,NL,No,2B
machama01,Silver Slugger,2020,NL,No,3B
tatisfe02,Silver Slugger,2020,NL,No,SS
sotoju01,Silver Slugger,2020,NL,No,OF
bettsmo01,Silver Slugger,2020,NL,No,OF
acunaro01,Silver Slugger,2020,NL,No,OF
perezro02,Gold Glove,2020,AL,No,C
whiteev01,Gold Glove,2020,AL,No,1B
hernace02,Gold Glove,2020,AL,No,2B
bettsmo01,Most Valuable Player,2018,AL,No,N/A
yelicch01,Most Valuable Player,2018,NL,No,N/A
snellbl01,Cy Young Award,2018,AL,No,N/A
degroja01,Cy Young Award,2018,NL,No,N/A
ohtansh01,Rookie of the Year,2018,AL,No,N/A
acunaro01,Rookie of the Year,2018,NL,No,N/A
perezsa02,Silver Slugger,2018,AL,No,C
abreujo02,Silver Slugger,2018,AL,No,1B
altuvjo01,Silver Slugger,2018,AL,No,2B
ramirjo01,Silver Slugger,2018,AL,No,3B
martijd02,Silver Slugger,2018,AL,No,OF
troutmi01,Silver Slugger,2018,AL,No,OF
bettsmo01,Silver Slugger,2018,AL,No,OF
martijd02,Silver Slugger,2018,AL,No,DH
realmjt01,Silver Slugger,2018,NL,No,C
goldspa01,Silver Slugger,2018,NL,No,1B
baezja01,Silver Slugger,2018,NL,No,2B
arenano01,Silver Slugger,2018,NL,No,3B
storytr01,Silver Slugger,2018,NL,No,SS
markani01,Silver Slugger,2018,NL,No,OF
peralda01,Silver Slugger,2018,NL,No,OF
yelicch01,Silver Slugger,2018,NL,No,OF
marquge01,Silver Slugger,2018,NL,No,P
perezsa02,Gold Glove,2018,AL,No,C
olsonma02,Gold Glove,2018,AL,No,1B
kinslia01,Gold Glove,2018,AL,No,2B
chapmma01,Gold Glove,2018,AL,No,3B
simmoan01,Gold Glove,2018,AL,No,SS
gordoal01,Gold Glove,2018,AL,No,LF
bradlja02,Gold Glove,2018,AL,No,CF
bettsmo01,Gold Glove,2018,AL,No,RF
keuchda01,Gold Glove,2018,AL,No,P
molinya01,Gold Glove,2018,NL,No,C
rizzoan01,Gold Glove,2018,NL,Y,1B
lemahdj01,Gold Glove,2018,NL,No,2B
arenano01,Gold Glove,2018,NL,No,3B
ahmedni01,Gold Glove,2018,NL,No,SS
dickeco01,Gold Glove,2018,NL,No,LF
inciaen01,Gold Glove,2018,NL,No,CF
markani01,Gold Glove,2018,NL,No,RF
greinza01,Gold Glove,2018,NL,No,P
martipe02,Cy Young Award,2000,AL,No,N/A
johnsra05,Cy Young Award,2000,NL,No,N/A
olerujo01,Gold Glove,2000,AL,No,1B
alomaro01,Gold Glove,2000,AL,No,2B
frymatr01,Gold Glove,2000,AL,No,3B
rodriiv01,Gold Glove,2000,AL,No,C
dyeje01,Gold Glove,2000,AL,No,OF
erstada01,Gold Glove,2000,AL,No,OF
willibe02,Gold Glove,2000,AL,No,OF
rogerke01,Gold Glove,2000,AL,No,P
vizquom01,Gold Glove,2000,AL,No,SS
snowjt01,Gold Glove,2000,NL,No,1B
reesepo01,Gold Glove,2000,NL,No,2B
rolensc01,Gold Glove,2000,NL,No,3B
mathemi01,Gold Glove,2000,NL,No,C
edmonji01,Gold Glove,2000,NL,No,OF
finlest01,Gold Glove,2000,NL,No,OF
jonesan01,Gold Glove,2000,NL,No,OF
maddugr01,Gold Glove,2000,NL,No,P
perezne01,Gold Glove,2000,NL,No,SS
giambja01,Most Valuable Player,2000,AL,No,N/A
kentje01,Most Valuable Player,2000,NL,No,N/A
sasakka01,Rookie of the Year,2000,AL,No,N/A
furcara01,Rookie of the Year,2000,NL,No,N/A
delgaca01,Silver Slugger,2000,AL,No,1B
alomaro01,Silver Slugger,2000,AL,No,2B
glaustr01,Silver Slugger,2000,AL,No,3B
posadjo01,Silver Slugger,2000,AL,No,C
thomafr04,Silver Slugger,2000,AL,No,DH
erstada01,Silver Slugger,2000,AL,No,OF
ordonma01,Silver Slugger,2000,AL,No,OF
ramirma02,Silver Slugger,2000,AL,No,OF
rodrial01,Silver Slugger,2000,AL,No,SS
heltoto01,Silver Slugger,2000,NL,No,1B
kentje01,Silver Slugger,2000,NL,No,2B
jonesch06,Silver Slugger,2000,NL,No,3B
piazzmi01,Silver Slugger,2000,NL,No,C
bondsba01,Silver Slugger,2000,NL,No,OF
guerrvl01,Silver Slugger,2000,NL,No,OF
sosasa01,Silver Slugger,2000,NL,No,OF
hamptmi01,Silver Slugger,2000,NL,No,P
renteed01,Silver Slugger,2000,NL,No,SS
clemero02,Cy Young Award,2001,AL,No,N/A
johnsra05,Cy Young Award,2001,NL,No,N/A
mientdo01,Gold Glove,2001,AL,No,1B
alomaro01,Gold Glove,2001,AL,No,2B
chaveer01,Gold Glove,2001,AL,No,3B
rodriiv01,Gold Glove,2001,AL,No,C
camermi01,Gold Glove,2001,AL,No,OF
hunteto01,Gold Glove,2001,AL,No,OF
suzukic01,Gold Glove,2001,AL,No,OF
mussimi01,Gold Glove,2001,AL,No,P
vizquom01,Gold Glove,2001,AL,No,SS
heltoto01,Gold Glove,2001,NL,No,1B
vinafe01,Gold Glove,2001,NL,No,2B
rolensc01,Gold Glove,2001,NL,No,3B
ausmubr01,Gold Glove,2001,NL,No,C
edmonji01,Gold Glove,2001,NL,No,OF
jonesan01,Gold Glove,2001,NL,No,OF
walkela01,Gold Glove,2001,NL,No,OF
maddugr01,Gold Glove,2001,NL,No,P
cabreor01,Gold Glove,2001,NL,No,SS
suzukic01,Most Valuable Player,2001,AL,No,N/A
bondsba01,Most Valuable Player,2001,NL,No,N/A
suzukic01,Rookie of the Year,2001,AL,No,N/A
pujolal01,Rookie of the Year,2001,NL,No,N/A
giambja01,Silver Slugger,2001,AL,No,1B
boonebr01,Silver Slugger,2001,AL,No,2B
glaustr01,Silver Slugger,2001,AL,No,3B
posadjo01,Silver Slugger,2001,AL,No,C
martied01,Silver Slugger,2001,AL,No,DH
gonzaju03,Silver Slugger,2001,AL,No,OF
ramirma02,Silver Slugger,2001,AL,No,OF
suzukic01,Silver Slugger,2001,AL,No,OF
rodrial01,Silver Slugger,2001,AL,No,SS
heltoto01,Silver Slugger,2001,NL,No,1B
kentje01,Silver Slugger,2001,NL,No,2B
pujolal01,Silver Slugger,2001,NL,No,3B
piazzmi01,Silver Slugger,2001,NL,No,C
bondsba01,Silver Slugger,2001,NL,No,OF
gonzalu01,Silver Slugger,2001,NL,No,OF
sosasa01,Silver Slugger,2001,NL,No,OF
hamptmi01,Silver Slugger,2001,NL,No,P
aurilri01,Silver Slugger,2001,NL,No,SS
zitoba01,Cy Young Award,2002,AL,No,N/A
johnsra05,Cy Young Award,2002,NL,No,N/A
olerujo01,Gold Glove,2002,AL,No,1B
boonebr01,Gold Glove,2002,AL,No,2B
chaveer01,Gold Glove,2002,AL,No,3B
molinbe01,Gold Glove,2002,AL,No,C
erstada01,Gold Glove,2002,AL,No,OF
hunteto01,Gold Glove,2002,AL,No,OF
suzukic01,Gold Glove,2002,AL,No,OF
rogerke01,Gold Glove,2002,AL,No,P
rodrial01,Gold Glove,2002,AL,No,SS
heltoto01,Gold Glove,2002,NL,No,1B
vinafe01,Gold Glove,2002,NL,No,2B
rolensc01,Gold Glove,2002,NL,No,3B
ausmubr01,Gold Glove,2002,NL,No,C
edmonji01,Gold Glove,2002,NL,No,OF
jonesan01,Gold Glove,2002,NL,No,OF
walkela01,Gold Glove,2002,NL,No,OF
maddugr01,Gold Glove,2002,NL,No,P
renteed01,Gold Glove,2002,NL,No,SS
tejadmi01,Most Valuable Player,2002,AL,No,N/A
bondsba01,Most Valuable Player,2002,NL,No,N/A
johnsra05,Pitching Triple Crown,2002,NL,No,N/A
hinsker01,Rookie of the Year,2002,AL,No,N/A
jennija01,Rookie of the Year,2002,NL,No,N/A
giambja01,Silver Slugger,2002,AL,No,1B
soriaal01,Silver Slugger,2002,AL,No,2B
chaveer01,Silver Slugger,2002,AL,No,3B
posadjo01,Silver Slugger,2002,AL,No,C
ramirma02,Silver Slugger,2002,AL,No,DH
anderga01,Silver Slugger,2002,AL,No,OF
ordonma01,Silver Slugger,2002,AL,No,OF
willibe02,Silver Slugger,2002,AL,No,OF
rodrial01,Silver Slugger,2002,AL,No,SS
heltoto01,Silver Slugger,2002,NL,No,1B
kentje01,Silver Slugger,2002,NL,No,2B
rolensc01,Silver Slugger,2002,NL,No,3B
piazzmi01,Silver Slugger,2002,NL,No,C
bondsba01,Silver Slugger,2002,NL,No,OF
guerrvl01,Silver Slugger,2002,NL,No,OF
sosasa01,Silver Slugger,2002,NL,No,OF
hamptmi01,Silver Slugger,2002,NL,No,P
renteed01,Silver Slugger,2002,NL,No,SS
hallaro01,Cy Young Award,2003,AL,No,N/A
gagneer01,Cy Young Award,2003,NL,No,N/A
olerujo01,Gold Glove,2003,AL,No,1B
boonebr01,Gold Glove,2003,AL,No,2B
chaveer01,Gold Glove,2003,AL,No,3B
molinbe01,Gold Glove,2003,AL,No,C
camermi01,Gold Glove,2003,AL,No,OF
hunteto01,Gold Glove,2003,AL,No,OF
suzukic01,Gold Glove,2003,AL,No,OF
mussimi01,Gold Glove,2003,AL,No,P
rodrial01,Gold Glove,2003,AL,No,SS
leede02,Gold Glove,2003,NL,No,1B
castilu01,Gold Glove,2003,NL,No,2B
rolensc01,Gold Glove,2003,NL,No,3B
mathemi01,Gold Glove,2003,NL,No,C
cruzjo02,Gold Glove,2003,NL,No,OF
edmonji01,Gold Glove,2003,NL,No,OF
jonesan01,Gold Glove,2003,NL,No,OF
hamptmi01,Gold Glove,2003,NL,No,P
renteed01,Gold Glove,2003,NL,No,SS
rodrial01,Most Valuable Player,2003,AL,No,N/A
bondsba01,Most Valuable Player,2003,NL,No,N/A
berroan01,Rookie of the Year,2003,AL,No,N/A
willido03,Rookie of the Year,2003,NL,No,N/A
delgaca01,Silver Slugger,2003,AL,No,1B
boonebr01,Silver Slugger,2003,AL,No,2B
muellbi02,Silver Slugger,2003,AL,No,3B
posadjo01,Silver Slugger,2003,AL,No,C
martied01,Silver Slugger,2003,AL,No,DH
anderga01,Silver Slugger,2003,AL,No,OF
ramirma02,Silver Slugger,2003,AL,No,OF
wellsve01,Silver Slugger,2003,AL,No,OF
rodrial01,Silver Slugger,2003,AL,No,SS
heltoto01,Silver Slugger,2003,NL,No,1B
vidrojo01,Silver Slugger,2003,NL,No,2B
lowelmi01,Silver Slugger,2003,NL,No,3B
lopezja01,Silver Slugger,2003,NL,No,C
bondsba01,Silver Slugger,2003,NL,No,OF
pujolal01,Silver Slugger,2003,NL,No,OF
sheffga01,Silver Slugger,2003,NL,No,OF
hamptmi01,Silver Slugger,2003,NL,No,P
renteed01,Silver Slugger,2003,NL,No,SS
santajo01,Cy Young Award,2004,AL,No,N/A
clemero02,Cy Young Award,2004,NL,No,N/A
erstada01,Gold Glove,2004,AL,No,1B
boonebr01,Gold Glove,2004,AL,No,2B
chaveer01,Gold Glove,2004,AL,No,3B
rodriiv01,Gold Glove,2004,AL,No,C
hunteto01,Gold Glove,2004,AL,No,OF
suzukic01,Gold Glove,2004,AL,No,OF
wellsve01,Gold Glove,2004,AL,No,OF
rogerke01,Gold Glove,2004,AL,No,P
jeterde01,Gold Glove,2004,AL,No,SS
heltoto01,Gold Glove,2004,NL,No,1B
castilu01,Gold Glove,2004,NL,No,2B
rolensc01,Gold Glove,2004,NL,No,3B
mathemi01,Gold Glove,2004,NL,No,C
edmonji01,Gold Glove,2004,NL,No,OF
finlest01,Gold Glove,2004,NL,No,OF
jonesan01,Gold Glove,2004,NL,No,OF
maddugr01,Gold Glove,2004,NL,No,P
izturce01,Gold Glove,2004,NL,No,SS
guerrvl01,Most Valuable Player,2004,AL,No,N/A
bondsba01,Most Valuable Player,2004,NL,No,N/A
crosbbo01,Rookie of the Year,2004,AL,No,N/A
bayja01,Rookie of the Year,2004,NL,No,N/A
teixema01,Silver Slugger,2004,AL,No,1B
soriaal01,Silver Slugger,2004,AL,No,2B
morame01,Silver Slugger,2004,AL,No,3B
martivi01,Silver Slugger,2004,AL,Y,C
rodriiv01,Silver Slugger,2004,AL,Y,C
ortizda01,Silver Slugger,2004,AL,No,DH
guerrvl01,Silver Slugger,2004,AL,No,OF
ramirma02,Silver Slugger,2004,AL,No,OF
sheffga01,Silver Slugger,2004,AL,No,OF
tejadmi01,Silver Slugger,2004,AL,No,SS
pujolal01,Silver Slugger,2004,NL,No,1B
loretma01,Silver Slugger,2004,NL,No,2B
beltrad01,Silver Slugger,2004,NL,No,3B
estrajo01,Silver Slugger,2004,NL,No,C
abreubo01,Silver Slugger,2004,NL,No,OF
bondsba01,Silver Slugger,2004,NL,No,OF
edmonji01,Silver Slugger,2004,NL,No,OF
hernali01,Silver Slugger,2004,NL,No,P
wilsoja02,Silver Slugger,2004,NL,No,SS
colonba01,Cy Young Award,2005,AL,No,N/A
carpech01,Cy Young Award,2005,NL,No,N/A
teixema01,Gold Glove,2005,AL,No,1B
hudsoor01,Gold Glove,2005,AL,No,2B
chaveer01,Gold Glove,2005,AL,No,3B
varitja01,Gold Glove,2005,AL,No,C
hunteto01,Gold Glove,2005,AL,No,OF
suzukic01,Gold Glove,2005,AL,No,OF
wellsve01,Gold Glove,2005,AL,No,OF
rogerke01,Gold Glove,2005,AL,No,P
jeterde01,Gold Glove,2005,AL,No,SS
leede02,Gold Glove,2005,NL,No,1B
castilu01,Gold Glove,2005,NL,No,2B
lowelmi01,Gold Glove,2005,NL,No,3B
mathemi01,Gold Glove,2005,NL,No,C
abreubo01,Gold Glove,2005,NL,No,OF
edmonji01,Gold Glove,2005,NL,No,OF
jonesan01,Gold Glove,2005,NL,No,OF
maddugr01,Gold Glove,2005,NL,No,P
vizquom01,Gold Glove,2005,NL,No,SS
rodrial01,Most Valuable Player,2005,AL,No,N/A
pujolal01,Most Valuable Player,2005,NL,No,N/A
streehu01,Rookie of the Year,2005,AL,No,N/A
